NWS Creditted  - MS Fiscal Month Alt Name,Current Delivery - Sales SubLocation Name,NWS Creditted - MSTPID Account Name,Primary Product,Business Scenario,Sum of NWS MS Amt CUS,,,,,,,,,,,,,,,,,,,,
FY2013-P03,Civilian,NORTHROP CORPORATION,SharePoint 2010_Applications,Custom Development,405853,,,,,,,,,,,,,,,,,,,,
FY2013-P03,Civilian,PEACE CORPS,SQL Server 2008 R2,Custom Development,736328,,,,,,,,,,,,,,,,,,,,
FY2013-P03,Civilian,U S DEPARTMENT OF COMMERCE,SharePoint 2010_Applications,Custom Development,607037,,,,,,,,,,,,,,,,,,,,
FY2013-P03,DOD,US AIR FORCE SPACE COMMAND,SQL Server 2008,Legacy Solution Migration,8631000,,,,,,,,,,,,,,,,,,,,
FY2013-P03,DOD,US ARMY POTOMAC,SharePoint 2010_Applications,Custom Development,473925,,,,,,,,,,,,,,,,,,,,
FY2013-P03,DOD,US ARMY POTOMAC,SharePoint 2010_Applications,Enterprise Strategy ITAP,138306,,,,,,,,,,,,,,,,,,,,
FY2013-P03,DOD,US ARMY SOUTHEAST,SQL Server 2012,Legacy Solution Migration,53400,,,,,,,,,,,,,,,,,,,,
FY2013-P03,DOD,US DEPARTMENT OF THE NAVY,SharePoint 2010_Applications,BizAnalyticsSolutionDevelopmnt,629052,,,,,,,,,,,,,,,,,,,,
FY2013-P03,DOD,US DEPARTMENT OF THE NAVY,SharePoint 2013_Applications,Custom Development,656286,,,,,,,,,,,,,,,,,,,,
FY2013-P03,DOD,US JOINT DoD - DC - DARPA,Azure_Applications,Web Application Development,252600,,,,,,,,,,,,,,,,,,,,
FY2013-P03,DOD,US JOINT DoD - DC - DLA / FT. BELVOIR,SharePoint 2010_Applications,Enterprise Strategy ITAP,2271823.86,,,,,,,,,,,,,,,,,,,,
FY2013-P03,East,AARP,SharePoint 2010_Applications,Enterprise Strategy ITAP,199520,,,,,,,,,,,,,,,,,,,,
FY2013-P03,East,AFLAC,SharePoint 2010_Applications,Custom Development,170240,,,,,,,,,,,,,,,,,,,,
FY2013-P03,East,AIR PRODUCTS AND CHEMICALS INC,BizTalk,Custom Development,299725,,,,,,,,,,,,,,,,,,,,
FY2013-P03,East,BANK OF AMERICA,SQL Server 2008 R2,Custom Development,24360,,,,,,,,,,,,,,,,,,,,
FY2013-P03,East,DELOITTE & TOUCHE,SQL Server 2012,Enterprise Strategy ITAP,90560,,,,,,,,,,,,,,,,,,,,
FY2013-P03,East,E I DU PONT DE NEMOURS AND COMPANY,SharePoint 2010_Applications,Enterprise Strategy ITAP,216790,,,,,,,,,,,,,,,,,,,,
FY2013-P03,East,EMPIRECLS WORLDWIDE CHAUFFEURED SERVICES,SQL Server 2008 R2,Custom Development,25600,,,,,,,,,,,,,,,,,,,,
FY2013-P03,East,EY GLOBAL SERVICES LIMITED,SharePoint 2013_Applications,Custom Development,3850000,,,,,,,,,,,,,,,,,,,,
FY2013-P03,East,EY GLOBAL SERVICES LIMITED,SharePoint 2013_Applications,Enterprise Strategy ITAP,83200,,,,,,,,,,,,,,,,,,,,
FY2013-P03,East,EY GLOBAL SERVICES LIMITED,SQL Server 2008,BI & Analytics Platform,34560,,,,,,,,,,,,,,,,,,,,
FY2013-P03,East,MOODYS INVESTORS SERVICE,SQL Server 2008 R2,Custom Development,38900,,,,,,,,,,,,,,,,,,,,
FY2013-P03,East,PRICEWATERHOUSECOOPERS,BizTalk,Custom Development,202150,,,,,,,,,,,,,,,,,,,,
FY2013-P03,East,PRICEWATERHOUSECOOPERS,SharePoint 2010_Applications,Custom Development,33670,,,,,,,,,,,,,,,,,,,,
FY2013-P03,East,REED ELSEVIER,Visual Studio,Custom Development,83340,,,,,,,,,,,,,,,,,,,,
FY2013-P03,East,TRAVELERS PROPERTY & CASUALTY,SharePoint 2010_Applications,Enterprise Strategy ITAP,194472,,,,,,,,,,,,,,,,,,,,
FY2013-P03,East,TYCO INTERNATIONAL,MMA,IT Process & Compliance,9500,,,,,,,,,,,,,,,,,,,,
FY2013-P03,Edu,GEORGE WASHINGTON UNIVERSITY,SharePoint 2010_Applications,Custom Development,56980,,,,,,,,,,,,,,,,,,,,
FY2013-P03,Edu,MONTGOMERY COUNTY PUBLIC SCHOOLS,SharePoint 2010_Applications,Custom Development,178710,,,,,,,,,,,,,,,,,,,,
FY2013-P03,Edu,MONTGOMERY COUNTY PUBLIC SCHOOLS,SharePoint 2010_Applications,Enterprise Strategy ITAP,527248,,,,,,,,,,,,,,,,,,,,
FY2013-P03,Edu,MT-Breadth K12,SharePoint 2010_Applications,BizAnalyticsSolutionDevelopmnt,10360,,,,,,,,,,,,,,,,,,,,
FY2013-P03,Edu,UNIVERSITY OF PHOENIX,SharePoint 2010_Applications,Enterprise Strategy ITAP,68376,,,,,,,,,,,,,,,,,,,,
FY2013-P03,NSG,OFFICE OF NAVAL INTELLIGENCE,SharePoint 2010_Applications,Custom Development,1777980,,,,,,,,,,,,,,,,,,,,
FY2013-P03,NSG,U S ARMY INTELLIGENCE AND SECURITY COMMAND,SharePoint 2010_Applications,Custom Development,616000,,,,,,,,,,,,,,,,,,,,
FY2013-P03,NSG,U S DEPARTMENT OF HOMELAND SECURITY,SharePoint 2010_Applications,Custom Development,962350,,,,,,,,,,,,,,,,,,,,
FY2013-P03,NSG,U S DEPARTMENT OF HOMELAND SECURITY,SharePoint 2010_Applications,Enterprise Strategy ITAP,88504,,,,,,,,,,,,,,,,,,,,
FY2013-P03,NSG,U S DEPARTMENT OF JUSTICE,SharePoint 2010_Applications,Custom Development,129500,,,,,,,,,,,,,,,,,,,,
FY2013-P03,NSG,U S DEPARTMENT OF JUSTICE,SharePoint 2010_Applications,Enterprise Strategy ITAP,699126,,,,,,,,,,,,,,,,,,,,
FY2013-P03,NSG,U S DEPARTMENT OF JUSTICE,Visual Studio,Custom Development,438816,,,,,,,,,,,,,,,,,,,,
FY2013-P03,NSG,U S SPECIAL OPERATIONS COMMAND,SharePoint 2013_Applications,Enterprise Strategy ITAP,662352,,,,,,,,,,,,,,,,,,,,
FY2013-P03,NSG,US PROCUREMENT AUTHORITY,SQL Server 2008 R2,Custom Development,23650.89,,,,,,,,,,,,,,,,,,,,
FY2013-P03,SLG,AK-SLG OTHER STATE AGENCIES,SharePoint 2010_Applications,Custom Development,20720,,,,,,,,,,,,,,,,,,,,
FY2013-P03,SLG,FL-STATE DEPARTMENTS AND AGENCIES,Azure_Applications,Enterprise Strategy ITAP,44030,,,,,,,,,,,,,,,,,,,,
FY2013-P03,SLG,FL-STATE DEPARTMENTS AND AGENCIES,Visual Studio,Custom Development,1038703,,,,,,,,,,,,,,,,,,,,
FY2013-P03,SLG,LA-STATE DEPTS & AGENCIES,SQL Server 2008 R2,Custom Development,1891111,,,,,,,,,,,,,,,,,,,,
FY2013-P03,West,CAPITAL GROUP DATA SYSTEMS,SharePoint 2010_Applications,Custom Development,571200,,,,,,,,,,,,,,,,,,,,
FY2013-P03,West,FIRST AMERICAN FINANCIAL CORP,Azure_Applications,Web Application Development,170144,,,,,,,,,,,,,,,,,,,,
FY2013-P03,West,FIRST AMERICAN FINANCIAL CORP,BizTalk,Custom Development,47488,,,,,,,,,,,,,,,,,,,,
FY2013-P03,West,FIRST AMERICAN FINANCIAL CORP,SharePoint 2010_Applications,Custom Development,620128,,,,,,,,,,,,,,,,,,,,
FY2013-P03,West,HONEYWELL INC,Azure_Applications,Web Application Development,156590,,,,,,,,,,,,,,,,,,,,
FY2013-P03,West,SANDISK CORPORATION,SQL Server 2012,BizAnalyticsSolutionDevelopmnt,75480,,,,,,,,,,,,,,,,,,,,
FY2013-P03,West,"TELETECH HOLDINGS, INC",SQL Server 2012,Custom Development,59508,,,,,,,,,,,,,,,,,,,,
FY2013-P03,West,WELLS FARGO & COMPANY,Visual Studio,Custom Development,230744,,,,,,,,,,,,,,,,,,,,
FY2013-P04,Central,A M R CORPORATION,SharePoint 2010_Applications,Enterprise Strategy ITAP,125734,,,,,,,,,,,,,,,,,,,,
FY2013-P04,Central,ACE HARDWARE CORPORATION,SharePoint 2010_Applications,Enterprise Strategy ITAP,154080,,,,,,,,,,,,,,,,,,,,
FY2013-P04,Central,ALLSTATE INSURANCE GROUP,Visual Studio,Custom Development,344400,,,,,,,,,,,,,,,,,,,,
FY2013-P04,Central,AON CORPORATION,adCenter,Enterprise Strategy ITAP,83640,,,,,,,,,,,,,,,,,,,,
FY2013-P04,Central,"CB RICHARD ELLIS, INC.",Azure_Applications,Web Application Development,589067,,,,,,,,,,,,,,,,,,,,
FY2013-P04,Central,"CB RICHARD ELLIS, INC.",BizTalk,Enterprise Strategy ITAP,44244,,,,,,,,,,,,,,,,,,,,
FY2013-P04,Central,DEERE COMPANY,Azure_Applications,Web Application Development,8270,,,,,,,,,,,,,,,,,,,,
